TimeStamp,Btlinkid,FreeFlowTime,TrafficTime,Distance
2019-08-17T08:43:10Z,1018110021,136,185,1585
2019-08-17T08:44:11Z,1018110021,136,185,1585
2019-08-17T08:45:10Z,1018110021,136,176,1585
2019-08-17T08:46:11Z,1018110021,136,176,1585
2019-08-17T08:47:10Z,1018110021,136,176,1585
2019-08-17T08:48:11Z,1018110021,136,176,1585
2019-08-17T08:49:10Z,1018110021,136,176,1585
2019-08-17T08:50:10Z,1018110021,136,181,1585
2019-08-17T08:51:10Z,1018110021,136,171,1585
2019-08-17T08:52:11Z,1018110021,136,171,1585
2019-08-17T08:53:11Z,1018110021,136,165,1585
2019-08-17T08:54:10Z,1018110021,136,165,1585
2019-08-17T08:55:10Z,1018110021,136,172,1585
2019-08-17T08:56:10Z,1018110021,136,172,1585
2019-08-17T08:57:11Z,1018110021,136,168,1585
2019-08-17T08:58:10Z,1018110021,136,191,1585
2019-08-17T08:59:10Z,1018110021,136,191,1585
2019-08-17T09:00:10Z,1018110021,136,235,1585
2019-08-17T09:01:11Z,1018110021,136,309,1585
2019-08-17T09:02:10Z,1018110021,136,216,1585
2019-08-17T09:03:10Z,1018110021,136,223,1585
2019-08-17T09:04:10Z,1018110021,136,249,1585
2019-08-17T09:05:10Z,1018110021,136,206,1585
2019-08-17T09:06:11Z,1018110021,136,212,1585
2019-08-17T09:07:11Z,1018110021,136,212,1585
2019-08-17T09:08:10Z,1018110021,136,206,1585
2019-08-17T09:09:10Z,1018110021,136,206,1585
2019-08-17T09:10:10Z,1018110021,136,189,1585
2019-08-17T09:11:10Z,1018110021,136,189,1585
2019-08-17T09:12:11Z,1018110021,136,188,1585
2019-08-17T09:13:10Z,1018110021,136,192,1585
2019-08-17T09:14:10Z,1018110021,136,192,1585
2019-08-17T09:15:11Z,1018110021,136,201,1585
2019-08-17T09:16:10Z,1018110021,136,192,1585
2019-08-17T09:17:11Z,1018110021,136,178,1585
2019-08-17T09:18:10Z,1018110021,136,178,1585
2019-08-17T09:19:11Z,1018110021,136,198,1585
2019-08-17T09:20:11Z,1018110021,136,198,1585
2019-08-17T09:21:10Z,1018110021,136,198,1585
2019-08-17T09:22:11Z,1018110021,136,198,1585
2019-08-17T09:23:11Z,1018110021,136,198,1585
2019-08-17T09:24:10Z,1018110021,136,198,1585
2019-08-17T09:25:10Z,1018110021,136,175,1585
2019-08-17T09:26:10Z,1018110021,136,175,1585
2019-08-17T09:27:11Z,1018110021,136,161,1585
2019-08-17T09:28:10Z,1018110021,136,133,1585
2019-08-17T09:29:11Z,1018110021,136,160,1585
2019-08-17T09:30:10Z,1018110021,136,160,1585
2019-08-17T09:31:10Z,1018110021,136,208,1585
2019-08-17T09:32:10Z,1018110021,136,190,1585
2019-08-17T09:33:11Z,1018110021,136,178,1585
2019-08-17T09:34:10Z,1018110021,136,178,1585
2019-08-17T09:35:10Z,1018110021,136,183,1585
2019-08-17T09:36:11Z,1018110021,136,190,1585
2019-08-17T09:37:10Z,1018110021,136,190,1585
2019-08-17T09:38:10Z,1018110021,136,196,1585
2019-08-17T09:39:10Z,1018110021,136,196,1585
2019-08-17T09:40:10Z,1018110021,136,191,1585
2019-08-17T09:41:10Z,1018110021,136,197,1585
2019-08-17T09:42:11Z,1018110021,136,197,1585
2019-08-17T09:43:11Z,1018110021,136,185,1585
2019-08-17T09:44:11Z,1018110021,136,177,1585
2019-08-17T09:45:10Z,1018110021,136,177,1585
2019-08-17T09:46:10Z,1018110021,136,168,1585
2019-08-17T09:47:11Z,1018110021,136,172,1585
2019-08-17T09:48:11Z,1018110021,136,177,1585
2019-08-17T09:49:10Z,1018110021,136,169,1585
2019-08-17T09:50:12Z,1018110021,136,191,1585
2019-08-17T09:51:11Z,1018110021,136,191,1585
2019-08-17T09:52:11Z,1018110021,136,191,1585
2019-08-17T09:53:10Z,1018110021,136,183,1585
2019-08-17T09:54:11Z,1018110021,136,181,1585
2019-08-17T09:55:10Z,1018110021,136,194,1585
2019-08-17T09:56:10Z,1018110021,136,185,1585
2019-08-17T09:57:11Z,1018110021,136,190,1585
2019-08-17T09:58:10Z,1018110021,136,190,1585
2019-08-17T09:59:10Z,1018110021,136,192,1585
2019-08-17T10:00:10Z,1018110021,136,186,1585
2019-08-17T10:01:11Z,1018110021,136,188,1585
2019-08-17T10:02:10Z,1018110021,136,189,1585
2019-08-17T10:03:10Z,1018110021,136,188,1585
2019-08-17T10:04:10Z,1018110021,136,197,1585
2019-08-17T10:05:10Z,1018110021,136,197,1585
2019-08-17T10:06:10Z,1018110021,136,199,1585
2019-08-17T10:07:10Z,1018110021,136,199,1585
2019-08-17T10:08:10Z,1018110021,136,197,1585
2019-08-17T10:09:10Z,1018110021,136,199,1585
2019-08-17T10:10:10Z,1018110021,136,199,1585
2019-08-17T10:11:10Z,1018110021,136,208,1585
2019-08-17T10:12:10Z,1018110021,136,208,1585
2019-08-17T10:13:10Z,1018110021,136,208,1585
2019-08-17T10:14:11Z,1018110021,136,208,1585
2019-08-17T10:15:11Z,1018110021,136,202,1585
2019-08-17T10:16:11Z,1018110021,136,194,1585
2019-08-17T10:17:11Z,1018110021,136,211,1585
2019-08-17T10:18:11Z,1018110021,136,155,1585
2019-08-17T10:19:10Z,1018110021,136,155,1585
2019-08-17T10:20:10Z,1018110021,136,158,1585
2019-08-17T10:21:10Z,1018110021,136,156,1585
2019-08-17T10:22:11Z,1018110021,136,193,1585
2019-08-17T10:23:10Z,1018110021,136,206,1585
2019-08-17T10:24:10Z,1018110021,136,166,1585
2019-08-17T10:25:11Z,1018110021,136,169,1585
2019-08-17T10:26:11Z,1018110021,136,172,1585
2019-08-17T10:27:10Z,1018110021,136,169,1585
2019-08-17T10:28:12Z,1018110021,136,170,1585
2019-08-17T10:29:10Z,1018110021,136,172,1585
2019-08-17T10:30:11Z,1018110021,136,166,1585
2019-08-17T10:31:11Z,1018110021,136,166,1585
2019-08-17T10:32:11Z,1018110021,136,166,1585
2019-08-17T10:33:10Z,1018110021,136,166,1585
2019-08-17T10:34:10Z,1018110021,136,165,1585
2019-08-17T10:35:11Z,1018110021,136,165,1585
2019-08-17T10:36:11Z,1018110021,136,165,1585
2019-08-17T10:37:10Z,1018110021,136,165,1585
2019-08-17T10:38:10Z,1018110021,136,165,1585
2019-08-17T10:39:11Z,1018110021,136,156,1585
2019-08-17T10:40:11Z,1018110021,136,156,1585
2019-08-17T10:41:11Z,1018110021,136,178,1585
2019-08-17T10:42:11Z,1018110021,136,178,1585
2019-08-17T10:43:11Z,1018110021,136,183,1585
2019-08-17T10:44:10Z,1018110021,136,183,1585
2019-08-17T10:45:12Z,1018110021,136,144,1585
2019-08-17T10:46:11Z,1018110021,136,144,1585
2019-08-17T10:47:10Z,1018110021,136,144,1585
2019-08-17T10:48:10Z,1018110021,136,144,1585
2019-08-17T10:49:11Z,1018110021,136,144,1585
2019-08-17T10:50:10Z,1018110021,136,147,1585
2019-08-17T10:51:11Z,1018110021,136,174,1585
2019-08-17T10:52:10Z,1018110021,136,174,1585
2019-08-17T10:53:10Z,1018110021,136,181,1585
2019-08-17T10:54:11Z,1018110021,136,183,1585
2019-08-17T10:55:10Z,1018110021,136,174,1585
2019-08-17T10:56:11Z,1018110021,136,179,1585
2019-08-17T10:57:10Z,1018110021,136,183,1585
2019-08-17T10:58:10Z,1018110021,136,179,1585
2019-08-17T10:59:10Z,1018110021,136,179,1585
2019-08-17T11:00:10Z,1018110021,136,174,1585
2019-08-17T11:01:11Z,1018110021,136,174,1585
2019-08-17T11:02:11Z,1018110021,136,189,1585
2019-08-17T11:03:11Z,1018110021,136,170,1585
2019-08-17T11:04:10Z,1018110021,136,154,1585
2019-08-17T11:05:11Z,1018110021,136,228,1585
2019-08-17T11:06:10Z,1018110021,136,228,1585
2019-08-17T11:07:11Z,1018110021,136,228,1585
2019-08-17T11:08:11Z,1018110021,136,238,1585
2019-08-17T11:09:10Z,1018110021,136,235,1585
2019-08-17T11:10:10Z,1018110021,136,243,1585
2019-08-17T11:11:11Z,1018110021,136,241,1585
2019-08-17T11:12:11Z,1018110021,136,241,1585
2019-08-17T11:13:10Z,1018110021,136,243,1585
2019-08-17T11:14:10Z,1018110021,136,241,1585
2019-08-17T11:15:11Z,1018110021,136,246,1585
2019-08-17T11:16:11Z,1018110021,136,223,1585
2019-08-17T11:17:11Z,1018110021,136,219,1585
2019-08-17T11:18:11Z,1018110021,136,188,1585
2019-08-17T11:19:11Z,1018110021,136,159,1585
2019-08-17T11:20:10Z,1018110021,136,162,1585
